,Imagen_original,Imagen_transformada,Escenario,EscalaGrises,Normalizado,Clahe,Gabor,HOG,MSE,SSIM,HistogramaColor,LSH,SIFT,LPIPS
95,dataset/papel.jpg,dataset/papel_retocada.jpg,retocada,0.56560946,0.5189179,0.15342873,5.667072e-05,0.12210359,0.011246375558035713,0.10765853495855637,0.0015628321906736575,0.0625,0.021739130434782594,0.1015
96,dataset/papel.jpg,dataset/papel_parecida.jpg,parecida,0.54669833,0.5885502,0.84338754,0.010519093,0.3723851,0.06424188237404337,0.8629653347139655,0.06466294318669852,1.0,0.6744186046511628,0.6256
97,dataset/papel.jpg,dataset/papel_canalesColor.jpg,canalesColor,0.04901879,0.03145208,0.111154445,0.00010350195,0.03999701,0.010711465840242348,0.017058218132705805,0.1949068096857106,0.0,0.002192982456140302,0.1327
98,dataset/perrito.jpg,dataset/perrito_recortado.jpg,recortado,0.9642632,1.0440968,0.5804128,1.0947535,0.44372636,0.14366397221779337,0.8580765919955198,0.30855694594319416,1.0,0.02583025830258301,0.5948
99,dataset/perrito.jpg,dataset/perrito_rotado.jpg,rotado,0.9273915,0.6344359,0.7088408,0.5215251,0.50345093,0.2159223389668367,0.8545282381928574,0.0002633889322486427,1.0,0.0,0.6575
100,dataset/perrito.jpg,dataset/perrito_comprimida.jpg,comprimida,0.2143382,0.18383189,0.5533574,0.8621665,0.21870588,0.0004828641183035715,0.026127072910852256,0.0015095856010587383,0.0,0.16447368421052633,0.0280
101,dataset/perrito.jpg,dataset/perrito_igual.jpg,igual,0.02039515,0.009336401,0.060125817,0.051904723,0.010220471,4.78694993622449e-06,0.0005096144420552173,6.697320504833737e-05,0.0,0.0,0.0005
102,dataset/perrito.jpg,dataset/perrito_retocada.jpg,retocada,0.4723338,0.46164992,0.26059377,0.21919155,0.2671856,0.008037983298788265,0.05702538912677724,0.027047157146244394,0.03125,0.6293103448275862,0.0990
103,dataset/perrito.jpg,dataset/perrito_parecida.jpg,parecida,0.9978335,1.0370219,0.8667745,0.2904592,0.20799533,0.08776607900191326,0.7648319291378926,0.02446636083552478,0.28125,0.40740740740740744,0.4740
104,dataset/perrito.jpg,dataset/perrito_canalesColor.jpg,canalesColor,0.054049484,0.13331537,0.36793992,0.065180555,0.116360135,0.013263559072066328,0.04121237452157178,0.27042675506378255,0.0,0.017605633802816878,0.0547
105,dataset/pincel.jpg,dataset/pincel_recortado.jpg,recortado,0.14576598,0.25486887,0.5803927,0.16410972,0.2178479,0.03804181321747449,0.2841229110648066,0.5820765440077131,0.3125,0.0,0.4334
106,dataset/pincel.jpg,dataset/pincel_rotado.jpg,rotado,0.74845535,0.83586013,0.96849066,1.1485957,0.22543168,0.3161981987404337,0.47665526793746704,0.00023742031451967627,1.0,0.0,0.6501
107,dataset/pincel.jpg,dataset/pincel_comprimida.jpg,comprimida,0.087054245,0.07667082,0.7430582,0.73190063,0.04672244,4.196687659438775e-05,0.009853547321352019,0.003915787780641389,0.0,0.047169811320754707,0.0269
108,dataset/pincel.jpg,dataset/pincel_igual.jpg,igual,0.008953021,0.025586065,0.021657595,0.017652662,0.0057576257,1.363201530612245e-06,0.0004183647764003373,0.00012007786202472559,0.0,0.0,0.0014
109,dataset/pincel.jpg,dataset/pincel_retocada.jpg,retocada,0.73151684,0.71456623,0.4556999,0.42955768,0.11690792,0.003620341597576531,0.01693089441979634,0.0005749468831773852,0.0625,0.0092592592592593,0.0381
110,dataset/pincel.jpg,dataset/pincel_parecida.jpg,parecida,0.77778435,0.7794109,0.97794425,0.58662117,0.4480095,0.08136584821428572,0.3725554961195279,1.155898064670043,1.0,0.5420560747663552,0.4377
111,dataset/pincel.jpg,dataset/pincel_canalesColor.jpg,canalesColor,0.6440759,0.82965004,0.99136984,0.6137223,0.10560351,0.011955882493622448,0.08354845798101351,0.7695711078497792,0.09375,0.05882352941176472,0.2210
